Index,Act,ActName,Chapter,ChapterName,Position,POVText,SettingText,Action,Drama,Theme,Energy,Prominence,Gravity,CutRisk,Summary,Blurb,Excerpt
4,1,Act One: Spring,4,Secondhand Cottage,4323.25,Katiya,Valenseia | Gaffesend | Katiya&apos;s House | 2026-04-24,2.0,4.0,5.0,11.0,-3.5,1.0169491525423748,92.0,"Katiya&apos;s trauma baseline: nightmares of Hillfar; she self-stabilizes, starts her day, meets Derry & Carmen (Rayna foreshadow), and heads to base with Bertram.","Nightmares, neighbors, and a base run: Katiya fights panic with routine until routine fights back.","The next lucid moment, I find myself pinned upside-down beneath a thick wooden rack. The heat climbs as I drag my heels across the floor, my clothes so black and charred that I pra…"
32,3,Act Three: Fall,32,Fantastic Modernity,38576.25,"Katiya, Cody",Colorado | Evergreen Estates | Cody&apos;s House | 2026-11-29,2.0,5.0,5.0,12.0,-7.75,25.467608554138437,85.60260717845401,,"Katiya&apos;s first peaceful sleep leads straight into chaotic, sword-filled &quot;fantasy&quot; tourism on Earth.","Even in another world, I can't escape the same dream. The only difference is that sleep comes faster on a bed that's made of clouds, instead of one made from horsehair and feathers…"
16,2,Act Two: Summer,16,Back To Business,18151.75,Cody,Colorado | Shaleborough | Navidson-Monroe Aerospace | 2026-05-25,1.0,4.0,6.0,11.0,-3.75,4.058634906092533,82.93114184130386,Cody&apos;s spark flickers: nostalgia and lunch with Alan (Jackson talk); he returns hoping for an open door.,A lunch with Dad. A memory of a brother. A door that might be open tonight.,"""I think that will work just fine,"" Reed says. ""What do you think?"""
3,1,Act One: Spring,3,The Day After,3079.25,Cody,Colorado | Shaleborough | Navidson-Monroe Aerospace | 2026-04-24,1.0,5.0,6.0,12.0,-1.5,2.1052631578947367,81.57075488739702,"Cody&apos;s bleak office day: roasted for late redlines, awkward beat with Kei, then family unpacking with Miguel queued up for drinks.",Another soul-numbing office day pushes Cody toward a choice he&apos;s not ready to make.,I realize I'm done working on the redline when my hands stop moving. Copying changes from a red-inked engineering drawing to the computer is easy enough to get lost in thought. The…
15,2,Act Two: Summer,15,Technophile By Choice,17580.5,"Cody, Katiya",Valenseia | Gaffesend | Katiya&apos;s House | 2026-05-24,1.0,5.0,6.0,12.0,-1.5,5.824915013139813,79.96417361071265,Cody runs Katiya&apos;s route in Gaffesend; she tours him as &quot;royal inventor&quot;; awkward Jullian moment; tavern hang where Cody fits in.,Cody tours Katiya&apos;s world&mdash;and fits in a little too well.,"""Have you tried an Eglich?"" She asks."
9,1,Act One: Spring,9,Surprise Approach,11094.25,Cody,Colorado | Evergreen Estates | Cody&apos;s House | 2026-04-26,1.0,4.0,6.0,11.0,-10.75,26.88960146587266,79.92719962086677,Cody tries to rationalize it away (no wound); barricades the door; nearly late to work; meets foil Reed.,Cody barricades more than a door as reality refuses to make sense.,"Late Sunday morning, around 11:00, I awoke with my neck twisted against the closet door, my face saturated with drool, shirt missing, and a sticky note taped to my forehead with Mi…"
2,1,Act One: Spring,2,The Knight Before,1719.25,Katiya,Valenseia | Gaffesend | Gaffe&apos;s End Tavern | 2026-04-23,1.0,5.0,6.0,12.0,-1.666666666666666,6.713600308604764,79.74360053299672,"Katiya&apos;s intro: she struggles to relax, Aldrin frames trainee expectations, and she reconnects with Jullian as they &quot;christen&quot; her new place.","Katiya tries to unwind, but duty&mdash;and an old flame&mdash;won&apos;t let her rest.","With every intention to relax, I try to let the peace of this place flood my tense muscles. But I wasn't made for this, and I hate drinking. The only thought on my inebriated mind…"
5,1,Act One: Spring,5,Firsthand Home,5812.25,Cody,Colorado | Evergreen Estates | Cody&apos;s House | 2026-04-24,1.0,6.0,6.0,13.0,-3.5,13.967741157750075,78.40633135478498,"Cody + Miguel bro out, drink hard; Miguel crashes, Cody stays up.",Drinks with a best friend turn into confessions&mdash;and an idea Cody should ignore.,"""Since you started on your first day, you haven't been drug tested. What's gonna change their mind on Monday, bro? My work never runs drug tests,"" he says. Gunfire cracks over the…"
14,2,Act Two: Summer,14,Luddite By Chance,16333.5,"Cody, Katiya",Colorado | Evergreen Estates | Cody&apos;s House | 2026-05-23,3.0,6.0,6.0,15.0,0.75,18.70964631000313,72.1949560830268,"Cody gives her a gentle orientation day: first car ride (terrifying), Costco errand gauntlet&mdash;Katiya is overwhelmed by the future.",&quot;Welcome to the future.&quot; A car ride and a big-box errand become an emotional obstacle course.,I never knew it was possible to misunderstand a taco. It seems pretty obvious that it's tall and narrow. That you have to rotate the thing sideways to put it in your mouth to take…
17,2,Act Two: Summer,17,Onward To Chaos,18723.0,Katiya,Valenseia | Gaffesend | Katiya&apos;s House | 2026-05-26,1.0,5.0,7.0,13.0,-1.5,13.821153892518739,68.51046122916522,Katiya visits Bertram in the hospital (promises Hillfar); market duty goes sideways; she chases and collars Rayna (Ahkvasan half-blood); Jullian downplays her leap; Cody leaves a treat.,Katiya chases a thief and a ghost from her past&mdash;while promises tug her toward tomorrow.,"I refuse to let in a chance for anything to happen, and that's why I rise early. Earlier than the knocker that comes to wake me. Earlier than the sun: early enough that the morning…"
52,5,Epilogue,52,Parasmagate,56235.25,Cody,Unspecified | Unspecified | Unspecified,1.0,6.0,7.0,14.0,-11.666666666666668,45.45458929045013,64.80662293033429,"The epilogue gives Paragate its emotional closure before leaving one quiet fracture open for the future. Cody and Katiya emerge from the battle changed, no longer using each other&apos;s worlds as refuge from their own lives, and their relationship finally rests on chosen commitment instead of mutual escape.","On the western tower, two silhouettes face what&apos;s next.","Cody and Katiya announce that they'll both be able to keep their respective homes, and their relationship will continue."
1,1,Act One: Spring,1,Strangers To Enemies 1,571.25,Cody,Colorado | Evergreen Estates | Cody&apos;s House | 2026-04-24,6.0,6.0,6.0,18.0,6.0,26.32639776261543,63.76229367098293,"Cody celebrates his first home, drunkenly stumbles through the adjoining door into another world, is healed by strangers, and fixates on the &quot;cosplayer&quot; girl on the other side.",A housewarming goes sideways when Cody opens the wrong door&mdash;and stumbles into a world that shouldn&apos;t exist.,"In the long, dragging years after college, all I could ever ask is to waste my life as efficiently as possible."
11,1,Act One: Spring,11,Ennui and Excoriation,12860.5,Cody,Colorado | Shaleborough | Navidson-Monroe Aerospace | 2026-05-22,2.0,6.0,7.0,15.0,-2.75,34.96250934252719,60.60363789377043,"Another month later: Cody is bored while Reed earns praise; Nav spins up a new project; Cody ghosts social invites, but hears pleading through the door at home.","Praise falls on the wrong desk. At home, Cody hears a voice on the other side.","I can only work as fast as the computer will take me, choosing to try and save the file every chance I get. I've spent so many hours imagining how I would boost the performance if…"
13,2,Act Two: Summer,13,The Sleeping Knight,15137.5,"Cody, Katiya",Colorado | Evergreen Estates | Cody&apos;s House | 2026-05-23,1.0,6.0,8.0,15.0,-0.25,25.68170311256841,54.16319730016343,Katiya crosses mid-panic; Cody calms her and lets her sleep; awkward breakfast; they agree to &quot;no interfering&quot; (both intend to break it).,A midnight crossing. A stranger&apos;s kindness. Rules they&apos;ll both pretend to follow.,"Words are a currency she can't afford when her panic sets her over the edge. She speaks in strings of syllables I can't comprehend, but it's not her desperate cries that confuse me…"
18,2,Act Two: Summer,18,Civillian Combat,20756.0,Cody,Valenseia | Gaffesend | Gaffe Royal Base | 2026-06-27,6.0,6.0,7.0,19.0,5.0,33.699640764761185,53.557255704531116,"Cody&apos;s volunteer training day: Katiya teases, his mistake catches Aldrin&apos;s eye; later he chooses friendship over victory in a challenge&mdash;character beat.",A training mishap puts Cody on someone important&apos;s radar for all the wrong reasons.,"It came scrawled in messy letters that weren't from my world, written on a piece of vellum fresh with ink. It was only four words that would send a chill down any man's spine: espe…"
